bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,alfalfa,24,9.0,2.0,"{""high"":8,""moderate"":16}","[""2232"",""74590"",""82868"",""269949"",""293234"",""295080"",""295081"",""295082"",""295083"",""295084""]"
external_literature_review_required,butterbur,18,9.0,0.0,"{""high"":18}","[""204072"",""253957"",""253958"",""253959"",""253988"",""269401"",""311199"",""311200"",""311201"",""311202""]"
external_literature_review_required,feverfew,18,9.0,0.0,"{""high"":18}","[""696"",""35879"",""63623"",""79990"",""219034"",""252494"",""253576"",""253577"",""253579"",""312489""]"
external_literature_review_required,hawthorn,18,9.0,0.0,"{""high"":18}","[""704"",""54460"",""74663"",""82989"",""239769"",""277704"",""304667"",""312905"",""327979"",""330978""]"
external_literature_review_required,inositol,24,9.0,3.0,"{""high"":24}","[""81640"",""252549"",""254952"",""254953"",""254955"",""254956"",""254957"",""254994"",""294420"",""294421""]"
external_literature_review_required,natto extract,25,8.75,1.0,"{""moderate"":25}","[""254007"",""254008"",""254009"",""254010"",""254011"",""254012"",""294588"",""294772"",""294779"",""294781""]"
external_literature_review_required,cowhage,17,8.5,0.0,"{""high"":17}","[""252776"",""254044"",""254049"",""254050"",""270609"",""294797"",""294798"",""294799"",""294800"",""311066""]"
external_literature_review_required,l tryptophan,17,8.5,1.0,"{""high"":17}","[""25209"",""25212"",""231998"",""252841"",""252843"",""254828"",""254830"",""254831"",""254832"",""264895""]"
external_literature_review_required,wild yam,22,8.25,3.0,"{""high"":3,""moderate"":19}","[""79171"",""294301"",""294302"",""294303"",""294304"",""294305"",""294306"",""294307"",""294308"",""311889""]"
evidence_exists_identity_or_linkage_failed,INGR_GARLIC,23,8.05,4.0,"{""moderate"":23}","[""4150"",""67610"",""231794"",""252421"",""253326"",""253329"",""253332"",""302657"",""311160"",""311161""]"
external_literature_review_required,mct oil,23,8.05,0.0,"{""low"":6,""moderate"":17}","[""69281"",""213609"",""228000"",""251633"",""268537"",""268569"",""273676"",""273685"",""273696"",""277516""]"
external_literature_review_required,l serine,16,8.0,1.0,"{""high"":16}","[""241810"",""252822"",""252823"",""254751"",""254752"",""254753"",""254755"",""254756"",""254761"",""270520""]"
external_literature_review_required,chaga,22,7.7,1.0,"{""high"":1,""low"":4,""moderate"":17}","[""200789"",""227949"",""241322"",""241325"",""241328"",""241331"",""295037"",""295038"",""295039"",""295040""]"
external_literature_review_required,devil s claw,15,7.5,0.0,"{""high"":15}","[""213485"",""294984"",""294985"",""294986"",""294987"",""311499"",""311502"",""311503"",""311504"",""312885""]"
external_literature_review_required,dl phenylalanine,15,7.5,0.0,"{""high"":15}","[""65358"",""65361"",""182982"",""252512"",""253605"",""253607"",""253609"",""277669"",""312417"",""312418""]"
external_literature_review_required,l leucine,20,7.5,2.0,"{""high"":20}","[""31995"",""69282"",""78124"",""220282"",""252781"",""294893"",""294894"",""294895"",""294896"",""311946""]"
external_literature_review_required,apple cider vinegar,21,7.35,1.0,"{""high"":2,""moderate"":19}","[""12824"",""25612"",""239807"",""268185"",""268595"",""278522"",""294495"",""306058"",""308186"",""310757""]"
external_literature_review_required,common bean extract,19,7.125,0.0,"{""high"":16,""moderate"":3}","[""31139"",""36211"",""74436"",""213183"",""213310"",""232395"",""294278"",""294279"",""294280"",""294281""]"
external_literature_review_required,barley,27,7.0875,3.0,"{""high"":3,""low"":3,""moderate"":21}","[""78306"",""252402"",""253362"",""253373"",""253378"",""259304"",""259306"",""297644"",""310955"",""310956""]"
external_literature_review_required,papaya,27,7.0875,3.0,"{""low"":1,""moderate"":26}","[""59057"",""252616"",""311227"",""311228"",""311229"",""311230"",""311231"",""311232"",""311233"",""311234""]"
evidence_exists_identity_or_linkage_failed,INGR_PROBIOTICS,7,7.0,1.0,"{""high"":1,""low"":6}","[""26361"",""178311"",""239178"",""294039"",""298030"",""299736"",""299737""]"
external_literature_review_required,senna,14,7.0,1.0,"{""high"":14}","[""707"",""74665"",""252831"",""254397"",""254398"",""254399"",""311549"",""311550"",""311551"",""311552""]"
external_literature_review_required,pumpkin,26,6.825,3.0,"{""moderate"":26}","[""47813"",""252911"",""252913"",""254365"",""254366"",""254367"",""254400"",""254401"",""254402"",""294380""]"
external_literature_review_required,gotu kola,18,6.75,2.0,"{""high"":17,""moderate"":1}","[""18388"",""63950"",""63961"",""219195"",""294928"",""294929"",""294930"",""306227"",""312571"",""312572""]"
external_literature_review_required,l carnosine,18,6.75,2.0,"{""high"":18}","[""252621"",""253869"",""253875"",""253879"",""253885"",""253889"",""254032"",""294785"",""294788"",""311086""]"
external_literature_review_required,cat s claw,13,6.5,0.0,"{""high"":13}","[""18309"",""74607"",""74613"",""219019"",""222967"",""293929"",""295045"",""295503"",""327909"",""330534""]"
external_literature_review_required,dl methionine,13,6.5,1.0,"{""high"":13}","[""252482"",""253547"",""253550"",""253563"",""253595"",""253597"",""253599"",""253602"",""312413"",""312414""]"
external_literature_review_required,holy basil,13,6.5,1.0,"{""high"":13}","[""221241"",""251615"",""252623"",""254712"",""254726"",""254729"",""311981"",""311982"",""311983"",""311984""]"
external_literature_review_required,hops,13,6.5,1.0,"{""high"":13}","[""252642"",""254773"",""294426"",""294427"",""294428"",""294429"",""311988"",""311990"",""311991"",""311992""]"
external_literature_review_required,eleuthero,17,6.375,3.0,"{""high"":5,""moderate"":12}","[""833"",""2962"",""74530"",""78361"",""214052"",""219177"",""252442"",""253437"",""253477"",""253489""]"
external_literature_review_required,agmatine,12,6.0,0.0,"{""high"":12}","[""77079"",""252598"",""253462"",""253467"",""253498"",""269273"",""308288"",""310621"",""310622"",""310623""]"
external_literature_review_required,bamboo,12,6.0,0.0,"{""high"":12}","[""252349"",""253304"",""253309"",""253312"",""310921"",""310922"",""310924"",""310927"",""330290"",""330291""]"
external_literature_review_required,eurycoma longifolia,12,6.0,1.0,"{""high"":12}","[""224759"",""229366"",""241953"",""295784"",""306331"",""311800"",""312195"",""312198"",""331182"",""331183""]"
external_literature_review_required,gymnema,12,6.0,0.0,"{""high"":12}","[""706"",""63720"",""182953"",""252546"",""253796"",""253802"",""253804"",""312803"",""312804"",""312805""]"
external_literature_review_required,l glutamine,12,6.0,1.0,"{""high"":12}","[""252675"",""253978"",""253979"",""253980"",""311097"",""311098"",""312937"",""312938"",""329945"",""330123""]"
external_literature_review_required,l phenylalanine,12,6.0,1.0,"{""high"":12}","[""214734"",""218596"",""252817"",""254696"",""254698"",""254699"",""306324"",""312213"",""312214"",""312215""]"
external_literature_review_required,d mannose,17,5.95,1.0,"{""moderate"":17}","[""182853"",""223119"",""253625"",""253639"",""253684"",""253711"",""277659"",""306207"",""307785"",""307786""]"
external_literature_review_required,dandelion,15,5.625,3.0,"{""high"":10,""moderate"":5}","[""872"",""220053"",""223501"",""256111"",""267829"",""311494"",""311495"",""311496"",""311497"",""315294""]"
external_literature_review_required,pine bark extract,15,5.625,2.0,"{""high"":2,""moderate"":13}","[""252820"",""252825"",""254224"",""254230"",""254231"",""294566"",""311437"",""311438"",""311439"",""311440""]"
external_literature_review_required,d ribose,21,5.5125,2.0,"{""moderate"":21}","[""24440"",""25167"",""43425"",""187568"",""214003"",""223127"",""223150"",""252534"",""253806"",""253808""]"
external_literature_review_required,cysteine,11,5.5,1.0,"{""high"":11}","[""201101"",""217644"",""312130"",""312131"",""312132"",""312133"",""312134"",""312135"",""312136"",""312137""]"
