canonical_id,field,current,proposed,severity,reason_code,evidence,seed
5_htp,cui,C5815882,C0000578,high,resolved_to_branded_or_clinical_drug,Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for '5-HTP' returns C0000578 (5-hydroxytryptophan). C5815882 is a branded Natrol combo product.,yes
coq10,cui,C1843920,C0041536,high,resolved_to_disease_or_syndrome,"Pre-verified seed (spec §'Existing seed findings'). UMLS exact search for 'Coenzyme Q10' returns C0041536 (ubidecarenone). C1843920 is the disease, not the substance.",yes
genistein,"agent2_id (in curated_interactions_v1.json, not IQM)",C0061202,,informational,previously_corrupted_in_curated_interactions_now_fixed,Pre-verified seed (spec §'Existing seed findings'). IQM genistein.cui=C0061202 verified correct. curated_interactions_v1.json DSI_LEVOTHYROXINE_SOY and DSI_OC_SOY previously had agent2_id=C0301704 (phosphatidylserine); fixed in commit 8e3e318d on 2026-05-27. Sweep should confirm no related entries still reference C0301704.,yes
ADD_COLLOIDAL_SILVER,rxcui,9785,,high,rxcui_not_found_in_rxnav,RxNav /rxcui/9785/properties.json returned no record.,
BANNED_DHEA,cui,C0011260,,high,cui_not_found_in_umls,"UMLS /content/CUI/C0011260 returned no result. CUI may be deprecated, withdrawn, or never existed.",
BANNED_IGF1,cui,C5674892,,high,resolved_to_disease_or_syndrome,"Stored CUI C5674892 resolves to 'primary insulin-like growth factor-1 (IGF-1) deficiency' with semantic types ['Disease or Syndrome']. Disease/syndrome types ['Disease or Syndrome'] present, but IQM entry 'IGF-1 (Insulin-like Growth Factor 1)' is a substance.",
